類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,1465,偉全,1997/9/8,上市,紡織纖維,ESVUFR
股票 ,1466,聚隆,1998/4/4,上市,紡織纖維,ESVUFR
股票 ,1467,南緯,1998/12/21,上市,紡織纖維,ESVUFR
股票 ,1468,昶和,1999/1/21,上市,紡織纖維,ESVUFR
股票 ,1470,大統新創,1999/5/21,上市,紡織纖維,ESVUFR
股票 ,1471,首利,2000/3/6,上市,電子零組件業,ESVUFR
股票 ,1472,三洋實業,2000/9/11,上市,建材營造業,ESVUFR
股票 ,1473,台南,2000/9/11,上市,紡織纖維,ESVUFR
股票 ,1474,弘裕,2000/10/31,上市,紡織纖維,ESVUFR
股票 ,1475,業旺,2000/10/27,上市,紡織纖維,ESVUFR
股票 ,1476,儒鴻,2001/4/18,上市,紡織纖維,ESVUFR
股票 ,1477,聚陽,2003/1/21,上市,紡織纖維,ESVUFR
股票 ,1503,士電,1969/12/15,上市,電機機械,ESVUFR
股票 ,1504,東元,1973/11/5,上市,電機機械,ESVUFR
股票 ,1506,正道,1980/8/11,上市,電機機械,ESVUFR
股票 ,1512,瑞利,1994/1/28,上市,汽車工業,ESVUFR
股票 ,1513,中興電,1994/3/8,上市,電機機械,ESVUFR
股票 ,1514,亞力,1994/3/26,上市,電機機械,ESVUFR
股票 ,1515,力山,1995/2/4,上市,電機機械,ESVUFR
股票 ,1516,川飛,1995/4/1,上市,其他業,ESVUFR
股票 ,1517,利奇,1995/11/14,上市,電機機械,ESVUFR
股票 ,1519,華城,1997/4/16,上市,電機機械,ESVUFR
股票 ,1521,大億,1997/10/6,上市,汽車工業,ESVUFR
股票 ,1522,堤維西,1997/10/6,上市,汽車工業,ESVUFR
股票 ,1524,耿鼎,1998/10/30,上市,汽車工業,ESVUFR
股票 ,1525,江申,1999/5/15,上市,汽車工業,ESVUFR
股票 ,1526,日馳,2000/3/27,上市,電機機械,ESVUFR
股票 ,1527,鑽全,2000/6/21,上市,電機機械,ESVUFR
股票 ,1528,恩德,2000/9/11,上市,電機機械,ESVUFR
股票 ,1529,樂事綠能,2000/9/11,上市,電機機械,ESVUFR
股票 ,1530,亞崴,2000/9/11,上市,電機機械,ESVUFR
股票 ,1531,高林股,2000/9/11,上市,電機機械,ESVUFR
股票 ,1532,勤美,2000/9/11,上市,電機機械,ESVUFR
股票 ,1533,車王電,2001/4/6,上市,汽車工業,ESVUFR
股票 ,1535,中宇,2001/9/17,上市,電機機械,ESVUFR
股票 ,1536,和大,2001/9/17,上市,汽車工業,ESVUFR
股票 ,1537,廣隆,2002/1/22,上市,電機機械,ESVUFR
股票 ,1538,正峰,2002/8/26,上市,電機機械,ESVUFR
股票 ,1539,巨庭,2002/10/29,上市,電機機械,ESVUFR
股票 ,1540,喬福,2002/8/26,上市,電機機械,ESVUFR
股票 ,1541,錩泰,2003/3/19,上市,電機機械,ESVUFR
股票 ,1558,伸興,2014/12/23,上市,電機機械,ESVUFR
股票 ,1560,中砂,2005/1/31,上市,電機機械,ESVUFR
股票 ,1563,巧新,2024/5/13,上市,汽車工業,ESVUFR
股票 ,1568,倉佑,2014/5/14,上市,汽車工業,ESVUFR
股票 ,1582,信錦,2009/12/17,上市,電子零組件業,ESVUFR
股票 ,1583,程泰,2008/1/24,上市,電機機械,ESVUFR
股票 ,1587,吉茂,2018/4/16,上市,汽車工業,ESVUFR
股票 ,1589,永冠-KY,2012/4/27,上市,電機機械,ESVUFR
股票 ,1590,亞德客-KY,2010/12/13,上市,電機機械,ESVUFR
